AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
0.22,-0.29,9.88,0.05,-0.08,-0.01,0.20,0.06,10.00,0.02,-0.02,0.00
0.24,-0.31,9.87,0.05,-0.08,-0.01,0.18,0.05,10.02,0.03,-0.05,-0.01
0.22,-0.30,9.88,0.05,-0.08,-0.01,0.18,0.05,10.02,0.03,-0.05,-0.01
0.21,-0.31,9.89,0.05,-0.08,-0.01,0.20,0.06,10.03,0.03,-0.05,-0.01
0.23,-0.29,9.89,0.05,-0.08,-0.01,0.20,0.07,10.03,0.03,-0.05,-0.01
0.21,-0.31,9.88,0.05,-0.08,-0.01,0.19,0.07,10.02,0.03,-0.05,-0.01
0.22,-0.30,9.89,0.05,-0.08,-0.01,0.19,0.07,10.02,0.03,-0.05,-0.01
0.22,-0.29,9.88,0.05,-0.08,-0.01,0.20,0.05,10.03,0.03,-0.05,-0.01
0.21,-0.31,9.88,0.05,-0.08,-0.01,0.20,0.05,10.02,0.03,-0.05,-0.01
0.23,-0.28,9.87,0.05,-0.08,-0.01,0.20,0.07,10.02,0.03,-0.05,-0.01
0.22,-0.30,9.90,0.05,-0.08,-0.02,0.20,0.07,10.02,0.03,-0.05,-0.01
0.23,-0.29,9.87,0.05,-0.08,-0.01,0.20,0.07,10.02,0.03,-0.05,-0.01
0.21,-0.30,9.89,0.05,-0.08,-0.01,0.20,0.06,10.02,0.03,-0.05,-0.01
0.22,-0.29,9.89,0.05,-0.08,-0.01,0.20,0.06,10.02,0.03,-0.05,-0.01
0.21,-0.29,9.87,0.05,-0.08,-0.01,0.20,0.06,10.02,0.03,-0.05,-0.01
0.22,-0.30,9.88,0.05,-0.08,-0.01,0.21,0.08,10.02,0.03,-0.05,-0.01
0.23,-0.33,9.90,0.05,-0.08,-0.01,0.19,0.08,10.02,0.03,-0.05,-0.01
0.22,-0.30,9.88,0.05,-0.08,-0.01,0.18,0.05,10.02,0.03,-0.05,-0.01
0.21,-0.28,9.90,0.05,-0.08,-0.01,0.22,0.05,10.02,0.03,-0.05,-0.01
0.23,-0.30,9.88,0.05,-0.08,-0.01,0.22,0.05,10.02,0.03,-0.05,-0.01
0.23,-0.30,9.89,0.05,-0.08,-0.01,0.19,0.07,10.02,0.03,-0.05,-0.01
0.22,-0.28,9.92,0.05,-0.08,-0.01,0.19,0.08,10.02,0.03,-0.05,-0.01
0.22,-0.29,9.90,0.05,-0.08,-0.01,0.18,0.05,10.02,0.03,-0.05,-0.01
