AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
0.367298,0.090927,9.931410,0.032987,-0.081856,0.002443,0.315853,0.498904,9.8285198,0.034208,-0.043982,-0.004887
0.392423,0.571885,9.652646,0.013439,-0.087965,0.009774,0.315853,0.498904,9.8285198,0.034208,-0.043982,-0.004887
0.532403,0.096909,9.290133,0.017104,-0.063530,0.003665,0.742971,0.294317,9.5461664,0.021991,-0.023213,-0.002443
0.171087,0.463011,10.005588,0.079412,-0.050091,-0.002443,0.742971,0.294317,9.5461664,0.021991,-0.023213,-0.002443
0.340977,0.275175,9.664610,-0.030543,-0.120951,0.001222,0.236889,0.933201,10.1503534,0.026878,-0.054978,-0.003665
0.224925,0.434297,9.915856,0.058643,-0.067195,0.007330,0.381655,0.504886,9.9673023,0.059865,-0.029322,-0.006109
0.415155,0.126820,9.980463,0.004887,-0.102625,0.000000,0.295514,0.514457,10.0773716,0.000000,-0.067195,-0.004887
0.273978,0.169890,10.096515,0.045204,-0.075747,0.003665,0.295514,0.514457,10.0773716,0.000000,-0.067195,-0.004887
0.357727,0.656830,9.839287,0.010996,-0.096517,0.000000,0.296710,0.702293,9.8763752,0.040317,-0.041539,-0.003665
0.192622,0.691526,9.565309,0.039095,-0.080634,0.001222,0.326620,0.800399,9.7028952,0.034208,-0.046426,-0.006109
0.272782,0.220140,9.553344,0.017104,-0.091630,0.001222,0.437887,0.726222,10.1096754,0.021991,-0.052534,-0.003665
0.284746,0.029910,9.785448,0.036652,-0.079412,0.002443,0.437887,0.726222,10.1096754,0.021991,-0.052534,-0.003665
0.138784,-0.259621,10.135996,0.014661,-0.094073,0.001222,0.594616,1.067199,10.1551399,0.034208,-0.041539,-0.002443
0.210568,-0.086142,10.080962,0.036652,-0.079412,0.001222,0.360120,0.474975,9.9098749,0.028100,-0.047647,-0.001222
0.290728,0.488136,9.259027,0.020769,-0.090408,0.002443,0.646062,0.823131,10.0343018,0.015882,-0.053756,-0.004887
0.318245,0.873380,9.669396,0.025656,-0.085521,0.002443,0.646062,0.823131,10.0343018,0.015882,-0.053756,-0.004887
0.363709,0.141177,10.238889,0.025656,-0.086743,0.000000,0.053839,0.514457,9.8249292,0.025656,-0.051313,-0.004887
0.277567,0.248854,9.284152,0.030543,-0.089186,0.002443,-0.052642,0.376870,9.7495565,0.032987,-0.045204,-0.002443
0.294317,0.855434,9.639486,0.020769,-0.090408,0.001222,0.602991,1.125823,9.9134645,0.020769,-0.053756,-0.001222
0.093320,-0.143569,9.884750,0.030543,-0.087965,0.003665,0.602991,1.125823,9.9134645,0.020769,-0.053756,-0.001222
0.350549,0.959522,9.686147,0.024435,-0.089186,0.002443,0.293121,0.717847,9.9302139,0.029322,-0.050091,-0.002443
0.192622,0.124427,9.501899,0.029322,-0.089186,0.002443,0.256032,0.480957,9.9038925,0.031765,-0.047647,-0.001222
0.374477,0.971486,9.627522,0.025656,-0.089186,0.002443,0.308674,0.556331,9.8775721,0.024435,-0.054978,0.000000
0.258425,-0.163908,9.639486,0.026878,-0.091630,-0.001222,0.308674,0.556331,9.8775721,0.024435,-0.054978,0.000000
0.388834,-0.015553,10.571491,0.026878,-0.087965,0.007330,-0.157926,-0.069392,10.0773716,0.028100,-0.054978,-0.004887
0.356531,1.031307,9.859626,0.020769,-0.091630,0.000000,0.228515,0.713061,9.8715897,0.034208,-0.050091,-0.004887
0.180658,-0.071785,9.710074,0.032987,-0.086743,0.000000,0.906880,1.241875,9.9373922,0.029322,-0.047647,-0.002443
0.259621,-0.308674,10.338190,0.020769,-0.091630,0.003665,0.906880,1.241875,9.9373922,0.029322,-0.047647,-0.002443
0.288335,0.555135,10.630115,0.021991,-0.083078,0.003665,-0.281157,-0.059821,9.9481602,0.024435,-0.051313,-0.001222
