AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-0.342174,0.480957,10.254441,-0.089186,-0.144164,-0.009774,-0.391227,0.927219,10.2819586,-0.085521,-0.105069,-0.015882
0.160319,-0.278764,9.628718,-0.081856,-0.122173,-0.001222,-0.391227,0.927219,10.2819586,-0.085521,-0.105069,-0.015882
-0.558724,0.425922,9.945767,0.020769,-0.128282,0.006109,-0.522832,0.851845,10.2604227,0.020769,-0.087965,0.002443
0.163908,-0.659223,9.343972,0.174707,-0.017104,0.010996,-0.522832,0.851845,10.2604227,0.020769,-0.087965,0.002443
-0.160319,0.299103,9.784252,0.030543,-0.072082,-0.010996,-0.223729,0.881755,10.3776722,0.241903,0.098960,-0.003665
-0.288335,0.135194,9.769895,0.057421,-0.064752,0.001222,0.063410,0.661615,9.3810616,0.002443,-0.058643,-0.004887
-0.271585,-0.086142,9.781858,-0.009774,-0.103847,-0.006109,-0.244068,0.678365,9.8165550,-0.023213,-0.097738,-0.004887
-0.544367,0.807578,10.214960,-0.047647,-0.140499,0.007330,-0.244068,0.678365,9.8165550,-0.023213,-0.097738,-0.004887
-0.354138,-0.028714,9.698111,0.037874,-0.073304,0.000000,-0.214158,0.631705,10.0331059,-0.072082,-0.117286,-0.001222
-0.311067,0.183051,9.799805,0.058643,-0.070860,0.000000,-0.619741,0.720240,9.6897354,0.064752,-0.025656,-0.003665
-0.098106,0.254836,9.783055,-0.061087,-0.135612,0.001222,0.053839,1.039681,9.8967152,-0.042761,-0.108734,-0.001222
-0.368495,0.518046,10.168301,0.040317,-0.090408,0.002443,0.053839,1.039681,9.8967152,-0.042761,-0.108734,-0.001222
-0.302692,0.466600,10.037891,0.062308,-0.068417,0.000000,-0.690329,0.948754,9.9804630,0.004887,-0.072082,-0.003665
-0.799203,0.391227,9.844072,0.009774,-0.097738,-0.018326,-0.130409,0.760918,10.0366945,0.034208,-0.047647,-0.003665
-0.062213,0.593420,9.735199,0.048869,-0.017104,-0.050091,-0.509671,0.917647,9.8799648,0.074526,-0.043982,-0.002443
