AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-1.32,0.10,9.66,0.16,0.26,0.70,-0.38,0.40,11.06,0.28,0.45,0.56
-1.14,0.56,9.82,0.10,0.13,0.70,-1.19,0.58,10.52,0.14,0.32,0.70
-1.30,0.53,10.19,0.02,0.03,0.63,-1.35,0.90,10.18,0.06,0.15,0.67
-1.54,0.48,9.25,-0.06,-0.05,0.55,-1.41,1.11,10.12,-0.06,0.05,0.56
-1.04,0.31,10.72,-0.13,-0.16,0.55,-1.41,1.11,10.12,-0.06,0.05,0.56
-1.31,0.34,9.53,-0.13,-0.29,0.56,-1.10,0.68,9.68,-0.14,-0.11,0.55
-1.03,0.07,8.87,-0.11,-0.28,0.55,-1.09,0.79,9.89,-0.12,-0.23,0.56
-0.70,-0.05,9.50,-0.06,-0.23,0.53,-0.84,0.42,9.92,-0.08,-0.17,0.54
-0.54,-0.01,10.39,0.00,-0.22,0.53,-0.84,0.42,9.92,-0.08,-0.17,0.54
-0.45,0.14,9.60,0.01,-0.19,0.56,-0.81,0.72,9.91,0.01,-0.14,0.54
-0.15,0.36,10.64,-0.12,-0.11,0.57,-0.11,0.72,9.50,-0.01,-0.11,0.56
-0.51,0.22,9.35,-0.45,0.18,0.58,-0.47,0.89,10.41,-0.40,0.18,0.56
-0.53,-0.59,10.12,-0.37,0.31,0.53,-0.47,0.89,10.41,-0.40,0.18,0.56
-1.19,-0.70,10.25,-0.06,0.33,0.49,-0.92,-0.15,10.02,-0.31,0.37,0.49
-1.68,-0.64,10.29,0.20,0.18,0.51,-1.38,-0.44,9.67,0.06,0.34,0.48
-2.29,0.03,9.09,0.30,-0.03,0.52,-2.15,0.04,9.96,0.28,0.12,0.53
-1.78,-0.17,11.00,0.22,-0.26,0.49,-2.15,0.04,9.96,0.28,0.12,0.53
-2.08,0.71,8.80,0.11,-0.42,0.41,-2.18,0.65,10.40,0.20,-0.22,0.49
-0.80,0.41,10.64,-0.02,-0.42,0.34,-1.13,0.63,9.69,0.03,-0.36,0.38
-0.63,0.25,9.72,-0.04,-0.26,0.30,-0.61,0.47,10.81,-0.05,-0.25,0.32
-0.58,0.30,9.83,-0.13,0.40,0.23,-0.61,0.47,10.81,-0.05,-0.25,0.32
-1.53,0.32,10.22,-0.12,0.54,0.21,-0.80,0.33,11.12,-0.15,0.49,0.21
-2.09,0.05,9.06,-0.21,0.38,0.17,-1.73,0.11,11.22,-0.16,0.54,0.17
-2.29,0.09,10.05,-0.32,0.19,0.12,-2.30,0.57,9.46,-0.31,0.27,0.11
-2.90,-0.28,8.49,-0.29,0.04,0.05,-2.30,0.57,9.46,-0.31,0.27,0.11
-2.51,-0.80,10.11,-0.09,-0.19,0.05,-2.47,-0.18,9.14,-0.27,0.05,0.04
-2.46,-0.83,8.72,0.14,-0.30,-0.00,-2.14,-0.55,10.33,-0.01,-0.20,0.04
-1.68,-0.40,10.89,0.29,-0.26,-0.06,-1.71,-0.55,10.86,0.26,-0.22,-0.03
-2.14,-0.02,8.93,0.27,-0.22,-0.10,-1.71,-0.55,10.86,0.26,-0.22,-0.03
-1.85,-0.17,9.64,0.14,-0.24,-0.12,-1.66,0.28,10.20,0.23,-0.16,-0.09
-1.85,-0.08,9.67,0.02,-0.32,-0.11,-1.95,0.19,10.38,0.07,-0.24,-0.11
-1.64,-0.00,9.11,-0.01,-0.27,-0.06,-1.17,0.17,9.89,-0.03,-0.22,-0.07
-1.65,-0.56,9.82,0.14,-0.38,0.03,-1.17,0.17,9.89,-0.03,-0.22,-0.07
-1.10,0.12,9.17,0.30,-0.51,0.08,-1.19,-0.19,9.31,0.16,-0.34,0.05
-0.97,0.17,9.16,0.36,-0.56,0.03,-0.83,0.33,9.24,0.33,-0.48,0.09
-0.24,0.40,10.66,0.32,-0.44,-0.06,-0.72,0.84,10.54,0.32,-0.42,-0.02
-0.40,0.87,9.20,0.25,-0.17,-0.13,-0.72,0.84,10.54,0.32,-0.42,-0.02
-0.04,0.94,9.74,0.17,0.00,-0.19,-0.42,1.29,9.82,0.23,-0.08,-0.14
-0.29,1.33,9.56,0.12,0.04,-0.24,-0.25,1.37,9.77,0.14,0.07,-0.22
-0.48,1.24,9.66,0.05,0.09,-0.28,-0.51,1.55,9.81,0.06,0.11,-0.27
-1.75,0.40,9.00,0.11,-0.13,-0.37,-0.51,1.55,9.81,0.06,0.11,-0.27
-0.46,1.73,10.51,0.20,-1.29,0.34,-2.21,0.24,8.56,0.31,-0.27,-0.49
1.26,1.16,10.11,-0.18,-1.13,0.78,1.24,2.63,10.86,-0.06,-1.35,0.86
1.81,1.09,9.82,-0.11,-0.29,0.34,1.76,1.58,10.01,-0.11,-0.37,0.42
1.88,1.59,9.76,0.02,0.19,-0.05,1.76,1.58,10.01,-0.11,-0.37,0.42
0.87,0.80,8.29,0.11,-0.01,0.07,1.80,1.60,9.35,-0.14,0.24,0.08
1.00,1.13,9.50,-0.25,0.47,0.12,0.93,1.22,8.96,-0.21,0.24,0.12
0.00,0.82,9.92,-0.26,0.75,0.21,0.48,1.29,10.09,-0.28,0.76,0.18
-0.29,0.64,10.52,-0.09,0.33,0.48,0.48,1.29,10.09,-0.28,0.76,0.18
-0.14,0.21,9.94,-0.05,0.57,-0.10,-0.31,1.27,10.06,-0.08,0.37,0.44
-0.79,0.12,10.22,0.04,0.52,-0.37,-0.66,0.69,9.89,-0.07,0.67,-0.33
-0.58,0.70,9.55,0.12,-0.04,-0.02,-0.48,1.00,9.66,0.11,0.16,-0.15
-0.75,0.61,10.12,0.19,-0.20,0.20,-0.48,1.00,9.66,0.11,0.16,-0.15
-0.50,1.07,10.72,0.42,-0.35,0.15,-0.73,1.02,10.14,0.21,-0.15,0.21
-0.64,1.52,9.87,0.78,-0.59,0.06,-0.58,1.40,10.64,0.59,-0.36,0.11
-0.69,1.75,9.55,0.68,-0.50,0.03,-0.70,1.81,10.38,0.70,-0.44,0.11
-0.22,2.05,9.93,0.46,-0.22,-0.24,-0.70,1.81,10.38,0.70,-0.44,0.11
-0.22,2.79,9.81,0.00,-0.10,-0.09,-0.37,2.78,9.93,0.41,-0.15,-0.23
-0.43,2.24,8.73,0.02,-0.09,-0.18,-0.50,2.56,9.72,-0.02,-0.05,-0.11
-0.57,1.52,8.76,0.23,-0.06,-0.51,-1.39,1.74,8.19,0.05,-0.05,-0.29
-0.84,2.52,8.62,-0.01,-0.08,-0.49,-1.39,1.74,8.19,0.05,-0.05,-0.29
-0.32,2.47,9.69,-0.53,-0.36,0.28,-0.77,2.93,8.51,-0.11,-0.12,-0.37
-0.01,2.31,9.95,-0.42,-0.11,0.14,0.08,2.94,9.80,-0.48,-0.28,0.27
0.24,2.09,10.34,0.11,-0.22,-0.26,-0.15,2.22,9.83,-0.09,-0.12,-0.12
-0.03,1.67,9.69,0.45,-0.60,-0.41,-0.15,2.22,9.83,-0.09,-0.12,-0.12
0.77,1.98,9.51,-0.06,-0.30,-0.30,0.24,2.32,9.78,0.40,-0.57,-0.34
0.13,2.02,9.82,-0.10,-0.03,-0.38,0.47,2.23,9.71,-0.14,-0.04,-0.39
0.26,2.36,9.43,-0.04,-0.04,-0.24,0.43,2.26,9.70,-0.06,-0.05,-0.27
0.22,1.74,9.32,0.03,0.13,-0.18,0.43,2.26,9.70,-0.06,-0.05,-0.27
-0.04,1.83,9.76,-0.02,0.23,0.19,0.15,2.30,9.52,0.04,0.17,-0.16
-0.27,1.69,9.82,0.08,0.25,0.23,0.03,2.37,9.87,0.06,0.27,0.28
-0.52,2.18,9.75,0.13,0.13,0.01,-0.53,2.37,10.15,0.13,0.23,0.04
-0.56,1.79,9.54,0.04,-0.05,-0.14,-0.53,2.37,10.15,0.13,0.23,0.04
-0.71,1.92,9.85,-0.09,-0.11,-0.23,-0.94,2.33,9.40,-0.01,-0.01,-0.14
-0.92,2.06,9.72,-0.19,-0.10,-0.22,-0.89,2.17,9.73,-0.15,-0.08,-0.25
-0.81,1.81,9.80,-0.10,-0.13,-0.20,-0.94,2.33,9.70,-0.16,-0.08,-0.20
-0.66,1.61,9.76,-0.08,-0.07,-0.12,-0.94,2.33,9.70,-0.16,-0.08,-0.20
-0.75,1.12,9.75,0.08,-0.04,-0.21,-0.61,1.54,9.56,-0.07,-0.02,-0.13
-1.13,1.45,9.50,0.04,-0.04,-0.18,-0.83,1.52,9.66,0.06,0.03,-0.22
-0.69,1.35,9.45,0.02,-0.08,-0.00,-0.66,1.51,9.47,0.00,-0.04,-0.03
-0.96,1.28,9.17,-0.10,-0.07,0.13,-0.66,1.51,9.47,0.00,-0.04,-0.03
-0.99,1.15,9.16,0.01,-0.03,0.11,-1.04,1.92,9.16,-0.09,-0.02,0.14
-1.19,1.51,9.63,0.10,-0.07,0.05,-0.99,1.38,9.40,0.05,0.05,0.07
-0.95,1.58,9.62,0.27,-0.29,-0.06,-0.75,1.87,9.68,0.23,-0.19,-0.03
-0.51,1.54,9.42,0.24,-0.45,-0.12,-0.75,1.87,9.68,0.23,-0.19,-0.03
-0.25,1.95,9.52,0.13,-0.53,-0.13,-0.55,1.83,9.36,0.21,-0.41,-0.10
0.25,1.59,9.43,0.01,-0.55,-0.16,-0.07,2.03,9.54,0.08,-0.49,-0.12
0.48,1.55,9.56,-0.06,-0.49,-0.20,0.45,1.97,9.46,-0.05,-0.46,-0.18
0.66,1.83,9.60,-0.08,-0.41,-0.24,0.45,1.97,9.46,-0.05,-0.46,-0.18
1.25,1.59,9.51,-0.11,-0.32,-0.27,0.72,2.22,9.68,-0.09,-0.34,-0.24
1.21,1.14,9.64,-0.14,-0.19,-0.28,0.93,2.06,9.59,-0.14,-0.21,-0.27
1.02,1.30,9.82,-0.17,-0.04,-0.27,1.26,1.83,9.87,-0.17,-0.05,-0.29
0.97,1.05,9.77,-0.17,0.02,-0.28,1.26,1.83,9.87,-0.17,-0.05,-0.29
0.73,0.96,9.86,-0.16,0.03,-0.28,1.01,1.52,9.85,-0.17,0.05,-0.29
0.64,0.87,9.88,-0.14,0.01,-0.29,0.71,1.33,9.91,-0.16,0.05,-0.29
0.56,0.68,9.89,-0.12,-0.01,-0.30,0.56,1.10,10.01,-0.13,0.03,-0.30
0.43,0.54,10.05,-0.13,-0.02,-0.32,0.56,1.10,10.01,-0.13,0.03,-0.30
0.31,0.41,10.07,-0.14,0.00,-0.34,0.32,0.89,10.14,-0.14,0.02,-0.32
0.19,0.28,10.11,-0.11,0.00,-0.38,0.26,0.72,10.17,-0.14,0.04,-0.37
0.10,0.21,10.07,-0.05,0.00,-0.41,0.13,0.59,10.19,-0.07,0.03,-0.41
0.04,0.16,10.12,-0.02,-0.05,-0.43,0.13,0.59,10.19,-0.07,0.03,-0.41
0.02,0.13,10.03,-0.02,-0.14,-0.40,0.08,0.53,10.25,-0.03,-0.03,-0.43
0.06,0.11,10.08,0.04,-0.13,-0.39,0.06,0.46,10.04,-0.00,-0.10,-0.39
0.03,0.11,9.96,0.11,-0.10,-0.36,0.13,0.53,10.10,0.08,-0.09,-0.37
0.00,0.26,9.95,0.17,-0.07,-0.34,0.13,0.53,10.10,0.08,-0.09,-0.37
-0.00,0.40,9.90,0.21,-0.03,-0.34,0.01,0.67,10.00,0.17,-0.02,-0.34
-0.14,0.57,9.88,0.22,0.01,-0.31,-0.03,0.85,10.03,0.21,0.03,-0.32
-0.28,0.75,9.89,0.20,0.05,-0.30,-0.24,1.06,9.99,0.20,0.08,-0.30
-0.46,0.89,9.90,0.16,0.07,-0.29,-0.24,1.06,9.99,0.20,0.08,-0.30
-0.61,0.95,9.86,0.09,0.07,-0.30,-0.43,1.24,10.00,0.14,0.11,-0.30
-0.85,0.91,9.92,0.02,0.07,-0.30,-0.70,1.31,9.99,0.05,0.11,-0.31
-0.97,0.87,9.89,-0.04,0.03,-0.31,-0.96,1.23,9.89,-0.04,0.08,-0.32
-1.13,0.78,9.89,-0.08,-0.00,-0.30,-0.96,1.23,9.89,-0.04,0.08,-0.32
-1.22,0.60,9.87,-0.10,-0.05,-0.28,-1.06,1.09,9.92,-0.10,0.03,-0.31
-1.27,0.45,9.91,-0.08,-0.09,-0.26,-1.16,0.91,9.92,-0.11,-0.03,-0.29
-1.22,0.36,9.86,-0.05,-0.12,-0.23,-1.17,0.71,9.91,-0.07,-0.08,-0.24
-1.16,0.29,9.85,0.00,-0.11,-0.20,-1.17,0.71,9.91,-0.07,-0.08,-0.24
-1.24,0.22,9.91,0.06,-0.09,-0.17,-1.30,0.54,9.99,0.01,-0.06,-0.19
-1.33,0.26,9.94,0.10,-0.06,-0.15,-1.31,0.56,9.95,0.06,-0.03,-0.16
-1.22,0.40,9.73,0.15,-0.09,-0.14,-1.20,0.67,9.85,0.12,-0.03,-0.14
-1.22,0.47,9.88,0.15,-0.13,-0.11,-1.20,0.67,9.85,0.12,-0.03,-0.14
