AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-0.17,-0.09,9.86,0.06,-0.11,-0.02,-0.21,0.20,9.93,0.03,-0.05,-0.01
-0.28,-0.22,9.05,0.06,-0.11,-0.02,-0.21,0.20,9.93,0.03,-0.05,-0.01
-0.18,-0.11,10.19,0.06,-0.11,-0.01,-0.23,0.21,9.91,0.03,-0.05,-0.01
-0.00,-0.22,10.25,0.05,-0.11,-0.02,-0.23,0.21,9.91,0.03,-0.05,-0.01
-0.36,-0.28,8.93,0.06,-0.11,-0.01,-0.41,0.13,9.67,0.03,-0.05,-0.01
-0.16,-0.05,10.58,0.06,-0.11,-0.01,0.43,0.61,10.42,0.03,-0.05,-0.01
-0.38,0.05,9.62,0.06,-0.11,-0.01,-0.64,-0.36,9.93,0.03,-0.05,-0.01
-0.23,0.48,10.86,0.05,-0.11,-0.02,-0.64,-0.36,9.93,0.03,-0.05,-0.01
-0.20,0.44,10.81,0.05,-0.11,-0.02,-0.78,-0.39,9.78,0.03,-0.05,-0.01
-0.38,0.85,10.61,0.05,-0.11,-0.02,-0.97,-0.34,9.51,0.03,-0.05,-0.00
-0.26,0.51,10.81,0.05,-0.11,-0.02,-0.96,-0.28,9.46,0.03,-0.05,-0.00
-0.31,0.21,10.20,0.05,-0.11,-0.01,-0.96,-0.28,9.46,0.03,-0.05,-0.00
-0.30,0.12,10.57,0.06,-0.11,-0.02,0.07,0.08,10.50,0.03,-0.05,-0.01
-0.35,0.19,9.86,0.06,-0.11,-0.01,0.03,-0.18,10.51,0.03,-0.05,-0.01
-0.25,-0.19,10.05,0.06,-0.11,-0.01,-0.00,-0.15,10.52,0.03,-0.05,-0.01
-0.48,0.22,9.91,0.05,-0.11,-0.01,-0.00,-0.15,10.52,0.03,-0.05,-0.01
0.22,-0.51,8.62,0.07,-0.12,-0.01,0.06,0.60,10.19,0.03,-0.05,-0.01
0.03,-0.67,8.85,0.05,-0.09,-0.02,0.04,0.70,10.20,0.03,-0.03,-0.01
-0.52,-0.31,8.54,0.05,-0.07,-0.02,-0.31,0.48,9.14,0.04,-0.03,-0.01
-0.11,-0.75,9.17,0.06,-0.10,-0.02,-0.31,0.48,9.14,0.04,-0.03,-0.01
-0.21,-0.43,8.60,0.06,-0.11,-0.02,-0.55,-0.01,9.57,0.03,-0.05,-0.00
0.11,-0.18,10.48,0.06,-0.11,-0.02,-0.49,0.07,9.39,0.03,-0.05,-0.00
-0.19,-0.16,9.39,0.05,-0.11,-0.02,0.05,0.61,9.70,0.02,-0.04,-0.01
-0.04,-0.96,9.11,0.06,-0.10,-0.01,0.05,0.61,9.70,0.02,-0.04,-0.01
-0.28,-0.29,8.65,0.06,-0.11,-0.01,-0.41,-0.29,10.15,0.03,-0.05,-0.01
-0.25,-0.48,9.71,0.06,-0.11,-0.01,-0.58,-0.03,9.49,0.03,-0.05,-0.00
-0.14,-0.37,8.76,0.06,-0.11,-0.02,0.03,0.66,9.64,0.03,-0.05,-0.01
-0.04,-0.87,8.91,0.06,-0.11,-0.01,0.03,0.66,9.64,0.03,-0.05,-0.01
-0.18,-0.37,8.73,0.06,-0.11,-0.01,-0.72,-0.17,9.45,0.03,-0.05,-0.00
-0.21,-0.71,8.88,0.06,-0.11,-0.02,-0.63,-0.10,10.38,0.03,-0.05,-0.00
-0.14,-0.51,8.87,0.06,-0.11,-0.01,-0.52,-0.41,10.11,0.03,-0.05,-0.01
-0.12,0.07,10.08,0.06,-0.11,-0.01,-0.52,-0.41,10.11,0.03,-0.05,-0.01
-0.03,-0.58,9.41,0.05,-0.11,-0.02,0.31,0.31,10.52,0.03,-0.04,-0.01
-0.26,-0.44,8.75,0.06,-0.11,-0.02,-0.69,-0.32,9.88,0.03,-0.05,-0.01
-0.01,-0.69,9.24,0.06,-0.11,-0.02,-0.83,-0.31,9.72,0.03,-0.05,-0.01
-0.10,-0.43,8.67,0.06,-0.11,-0.02,-0.83,-0.31,9.72,0.03,-0.05,-0.01
0.07,0.21,10.95,0.06,-0.11,-0.02,0.17,0.99,9.98,0.02,-0.05,-0.01
-0.15,0.57,10.41,0.05,-0.11,-0.02,0.26,0.96,10.08,0.02,-0.05,-0.01
-0.21,0.47,10.96,0.05,-0.11,-0.02,0.44,0.90,10.22,0.03,-0.05,-0.01
-0.25,0.59,10.71,0.05,-0.11,-0.02,0.44,0.90,10.22,0.03,-0.05,-0.01
-0.18,0.29,10.84,0.05,-0.11,-0.02,-0.19,0.38,9.76,0.03,-0.05,-0.01
-0.06,0.43,10.61,0.05,-0.11,-0.02,-0.90,-0.35,9.65,0.03,-0.05,-0.00
-0.37,0.21,9.71,0.06,-0.11,-0.01,-0.92,-0.30,9.58,0.03,-0.05,-0.00
-0.20,0.13,10.65,0.05,-0.11,-0.01,-0.92,-0.30,9.58,0.03,-0.05,-0.00
-0.47,0.95,10.55,0.05,-0.11,-0.02,-0.63,-0.30,9.83,0.03,-0.05,-0.01
-0.28,0.28,10.95,0.06,-0.11,-0.02,-0.82,-0.33,9.61,0.03,-0.05,-0.01
-0.52,0.81,10.74,0.05,-0.11,-0.02,0.15,0.12,10.45,0.03,-0.05,-0.01
-0.28,-0.64,8.96,0.06,-0.11,-0.01,0.15,0.12,10.45,0.03,-0.05,-0.01
-0.14,-0.66,8.76,0.06,-0.11,-0.01,0.38,0.99,10.13,0.02,-0.05,-0.01
-0.08,-0.59,8.69,0.06,-0.11,-0.02,0.34,0.93,10.14,0.02,-0.05,-0.01
0.00,-0.82,8.80,0.06,-0.11,-0.01,0.33,0.86,10.12,0.02,-0.05,-0.01
-0.17,-0.44,8.69,0.06,-0.11,-0.02,0.33,0.86,10.12,0.02,-0.05,-0.01
-0.05,0.30,10.93,0.05,-0.11,-0.02,-0.75,-0.09,9.49,0.03,-0.05,-0.00
-0.29,0.86,10.44,0.05,-0.11,-0.02,-0.48,-0.34,10.24,0.03,-0.05,-0.01
-0.21,0.50,10.88,0.05,-0.11,-0.02,-0.31,-0.44,10.23,0.03,-0.05,-0.01
-0.33,0.93,10.64,0.05,-0.11,-0.02,-0.31,-0.44,10.23,0.03,-0.05,-0.01
-0.29,0.41,10.89,0.05,-0.11,-0.02,0.26,0.50,10.40,0.03,-0.05,-0.01
-0.23,-0.50,8.73,0.06,-0.11,-0.01,0.10,0.72,10.25,0.03,-0.05,-0.01
-0.14,-0.69,8.90,0.06,-0.11,-0.02,0.20,0.90,10.20,0.03,-0.05,-0.01
