AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-1.02,-0.20,9.90,0.16,0.32,-0.99,-1.31,0.18,9.72,0.13,0.34,-0.99
-1.02,-0.26,9.75,-0.46,-0.30,0.19,-1.31,0.18,9.72,0.13,0.34,-0.99
-1.50,-0.77,10.52,-0.61,-0.24,0.26,-1.62,-0.43,10.59,-0.63,-0.18,0.25
-1.14,-1.42,9.99,-0.46,-0.05,0.07,-1.62,-0.43,10.59,-0.63,-0.18,0.25
-0.83,-1.30,8.79,-0.02,-0.02,-0.59,-1.71,-0.87,9.90,-0.39,-0.00,-0.10
-1.58,-1.06,11.24,-0.07,0.04,-0.44,-0.70,-0.85,8.87,0.10,0.09,-0.30
-1.69,-1.69,11.39,0.01,0.01,-0.44,-1.79,-1.45,10.60,-0.01,0.06,-0.45
-1.34,-1.51,10.39,0.10,0.05,-0.23,-1.79,-1.45,10.60,-0.01,0.06,-0.45
-1.24,-1.52,9.73,0.11,-0.04,-0.26,-1.48,-1.55,10.31,0.04,0.13,-0.24
-1.10,-1.13,9.31,0.08,-0.12,-0.29,-1.53,-0.94,9.79,0.05,-0.00,-0.24
-1.17,-1.14,9.56,-0.05,-0.20,-0.33,-0.95,-0.96,9.56,-0.08,-0.11,-0.40
-1.41,-1.47,9.90,-0.13,-0.14,-0.31,-0.95,-0.96,9.56,-0.08,-0.11,-0.40
-1.05,-1.47,9.76,-0.05,-0.07,-0.30,-1.40,-1.20,9.88,-0.16,-0.10,-0.32
-1.36,-1.31,9.87,0.06,-0.04,-0.34,-1.15,-1.57,10.02,-0.01,0.05,-0.19
-1.38,-1.56,9.94,0.04,-0.24,-0.18,-1.07,-1.25,9.91,0.01,-0.16,-0.27
-1.17,-1.59,9.78,0.06,-0.19,0.02,-1.07,-1.25,9.91,0.01,-0.16,-0.27
-1.08,-1.62,9.75,0.01,-0.14,0.07,-1.08,-1.24,9.74,0.04,-0.12,0.05
-0.98,-1.57,9.42,-0.01,-0.19,0.22,-0.94,-1.44,9.39,-0.06,-0.07,0.14
-0.86,-1.81,9.66,0.04,-0.02,0.10,-0.99,-1.50,9.70,-0.02,-0.05,0.20
-0.89,-1.83,9.60,0.18,-0.00,-0.03,-0.99,-1.50,9.70,-0.02,-0.05,0.20
-1.03,-2.00,9.47,0.02,-0.05,-0.08,-0.85,-1.59,9.59,0.15,0.06,-0.04
