AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
0.01,-0.32,9.91,0.06,-0.11,-0.01,0.01,0.03,9.96,0.03,-0.05,-0.01
0.01,-0.31,9.90,0.06,-0.11,-0.02,0.01,0.02,9.96,0.03,-0.05,-0.01
-0.00,-0.31,9.90,0.06,-0.11,-0.02,-0.01,0.03,9.96,0.03,-0.05,-0.01
0.02,-0.31,9.90,0.06,-0.11,-0.01,-0.01,0.03,9.96,0.03,-0.05,-0.01
0.01,-0.32,9.91,0.05,-0.11,-0.02,0.01,0.03,9.97,0.03,-0.05,-0.01
0.01,-0.32,9.91,0.06,-0.11,-0.02,0.01,0.03,9.97,0.03,-0.05,-0.01
-0.00,-0.32,9.91,0.05,-0.11,-0.01,0.02,0.03,9.95,0.03,-0.05,-0.01
0.02,-0.31,9.90,0.05,-0.11,-0.01,0.00,0.02,9.96,0.03,-0.05,-0.01
0.01,-0.32,9.91,0.05,-0.11,-0.01,-0.01,0.02,9.96,0.03,-0.05,-0.01
0.00,-0.32,9.91,0.05,-0.11,-0.01,-0.01,0.02,9.96,0.03,-0.05,-0.01
0.01,-0.31,9.91,0.06,-0.11,-0.02,-0.01,0.03,9.95,0.03,-0.05,-0.01
0.00,-0.31,9.90,0.06,-0.11,-0.02,-0.01,0.04,9.95,0.03,-0.05,-0.01
-0.00,-0.31,9.89,0.05,-0.11,-0.01,0.01,0.03,9.97,0.03,-0.05,-0.01
0.02,-0.32,9.91,0.06,-0.11,-0.02,0.01,0.03,9.97,0.03,-0.05,-0.01
0.00,-0.31,9.91,0.06,-0.11,-0.02,0.01,0.03,9.97,0.03,-0.05,-0.01
0.00,-0.32,9.91,0.05,-0.11,-0.01,0.02,0.03,9.96,0.03,-0.05,-0.01
0.02,-0.31,9.91,0.06,-0.11,-0.01,0.00,0.03,9.97,0.03,-0.05,-0.01
-0.00,-0.32,9.91,0.05,-0.11,-0.01,-0.01,0.02,9.96,0.03,-0.05,-0.01
0.00,-0.32,9.91,0.06,-0.11,-0.02,-0.01,0.02,9.96,0.03,-0.05,-0.01
0.01,-0.32,9.91,0.06,-0.11,-0.01,-0.00,0.03,9.97,0.03,-0.05,-0.01
0.01,-0.31,9.91,0.06,-0.11,-0.01,-0.00,0.02,9.98,0.03,-0.05,-0.01
0.03,-0.37,9.99,0.04,-0.12,-0.01,-0.01,0.02,9.93,0.02,-0.04,-0.01
0.09,0.36,9.97,-0.16,0.11,-0.03,-0.01,0.02,9.93,0.02,-0.04,-0.01
-0.07,-0.49,9.86,0.26,-0.11,-0.10,-0.00,-0.89,8.55,-0.47,0.19,0.03
-0.28,-0.71,9.73,0.18,-0.21,-0.01,-0.33,-0.32,9.54,0.02,-0.03,-0.01
-0.18,-0.52,9.85,-0.03,-0.05,-0.01,-0.17,-0.19,9.58,-0.07,0.01,-0.00
-0.38,0.16,10.31,-0.05,0.18,-0.05,-0.17,-0.19,9.58,-0.07,0.01,-0.00
-0.06,-0.93,9.77,0.07,-0.22,0.01,-0.47,-0.75,9.07,-0.26,0.13,0.03
-0.23,-0.45,9.81,0.10,-0.16,-0.01,-0.28,-0.16,9.83,0.04,-0.08,0.00
-0.20,-0.45,9.92,0.01,-0.09,-0.01,-0.23,-0.08,9.94,-0.01,-0.03,0.00
-0.19,-0.31,9.94,0.07,-0.12,-0.01,-0.23,-0.08,9.94,-0.01,-0.03,0.00
-0.24,-0.42,10.00,0.06,-0.11,-0.02,-0.25,-0.06,9.89,0.03,-0.04,-0.01
-0.20,-0.53,9.85,0.07,-0.13,-0.02,-0.27,-0.04,10.11,0.00,0.00,-0.01
-0.39,-0.53,9.79,0.05,-0.05,-0.02,-0.25,-0.13,9.73,0.04,-0.01,-0.02
0.05,-0.05,10.16,0.25,-0.30,0.05,-0.25,-0.13,9.73,0.04,-0.01,-0.02
-0.22,0.11,9.91,0.03,-0.08,0.03,-0.16,0.05,9.92,0.17,-0.15,0.03
-0.11,-0.76,9.94,0.05,-0.11,0.09,-0.18,-0.34,9.86,-0.04,-0.01,0.31
AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-0.03,-0.27,9.82,0.06,-0.11,-0.02,-0.04,0.08,9.88,0.03,-0.05,-0.01
-0.03,-0.26,9.85,0.06,-0.11,-0.02,-0.03,0.08,9.90,0.03,-0.05,-0.01
